Sample,Latitude,Longitude,Pop,Loc
Origin,45.245092,-73.2454,Contemporary,
QC8_210915,46.845018,-71.191278,Contemporary,North
TT054_Conc2,45.206079,-73.24911,Contemporary,Richelieu
TT056_Conc2,45.206079,-73.24911,Contemporary,Richelieu
TT057_Conc2,45.051286,-73.336104,Contemporary,Richelieu
TT059_Conc2,45.8605,-73.24809,Contemporary,Contrecoeur
TT060_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT062_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT063_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT064_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT065_190326,45.8519,-73.2465,Contemporary,Contrecoeur
TT066_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT067_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT068_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT069_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT070_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT071_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT072_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT073_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT074_190326,46.1114,-73.0738,Contemporary,LKStPierre
TT075_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT076_190326,45.7458,-73.4156,Contemporary,Repentigny
TT077_190326,45.7458,-73.4156,Contemporary,Repentigny
TT078_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT079_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT080_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT082_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT083_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT084_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT085_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT086_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT087_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT089_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT090_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT091_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT092_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT093_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT094_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT095_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT096_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT097_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT098_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT099_Conc2,46.1114,-73.0738,Contemporary,Repentigny
TT100_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT101_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT102_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT103_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT104_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT105_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT106_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT107_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT108_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT109_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT110_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT111_Conc3b,45.8519,-73.2465,Contemporary,Contrecoeur
TT112_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT113_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT114_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT115_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT116_Conc2,46.1114,-73.0738,Contemporary,LKStPierre
TT117_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT118_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT119_Conc2,45.8519,-73.2465,Contemporary,Contrecoeur
TT121_Conc2,45.7458,-73.4156,Contemporary,Repentigny
TT122_Conc2,43.7059,-73.3886,Contemporary,LKChamplain
TT123_Conc2,43.9602,-73.4053,Contemporary,LKChamplain
TT124_Conc3,43.9698,-73.4047,Contemporary,LKChamplain
TT125_Conc2,43.9995,-73.4014,Contemporary,LKChamplain
TT126_Conc3b,44.0072,-73.3959,Contemporary,LKChamplain
TT127_Conc2,43.833,-73.3781,Contemporary,LKChamplain
TT128_Conc2,43.9952,-73.4028,Contemporary,LKChamplain
TT129_Conc2,43.9949,-73.4028,Contemporary,LKChamplain
TT130_Conc2,43.9902,-73.4012,Contemporary,LKChamplain
TT131_Conc2,43.8164,-73.3849,Contemporary,LKChamplain
TT132_Conc2,43.8344,-73.379,Contemporary,LKChamplain
TT133_Conc3b,43.836,-73.381,Contemporary,LKChamplain
TT134_Conc2,43.831,-73.377,Contemporary,LKChamplain
TT135_Conc2,43.833,-73.3781,Contemporary,LKChamplain
TT136_Conc2,44.9728,-73.2095,Contemporary,LKChamplain
TT137_Conc2,43.6811,-73.4011,Contemporary,LKChamplain
TT138_Conc2,43.8346,-73.3791,Contemporary,LKChamplain
TT139_Conc2,43.9325,-73.4028,Contemporary,LKChamplain
TT140_Conc2,43.9326,-73.4028,Contemporary,LKChamplain
TT141_Conc2,43.9904,-73.3998,Contemporary,LKChamplain
TT142_Conc2,44.0023,-73.3989,Contemporary,LKChamplain
TT144_Conc2,44.8824,-73.3207,Contemporary,LKChamplain
TT145_Conc2,44.0238,-73.3999,Contemporary,LKChamplain
TT146_190326,44.9204,-73.2726,Contemporary,LKChamplain
TT147_Conc2,44.9204,-73.2726,Contemporary,LKChamplain
TT148_Conc2,44.9204,-73.2726,Contemporary,LKChamplain
TT149_190326,44.6531,-73.3156,Contemporary,LKChamplain
TT150_Conc2,44.6531,-73.3156,Contemporary,LKChamplain
TT151_Conc2,44.6531,-73.3156,Contemporary,LKChamplain
TT152_Conc2,44.6531,-73.3156,Contemporary,LKChamplain
TT153_Conc2,44.6531,-73.3156,Contemporary,LKChamplain
TT154_Conc2,44.6531,-73.3156,Contemporary,LKChamplain
TT155_Conc2,44.6531,-73.3156,Contemporary,LKChamplain
TT156_Conc2,44.6531,-73.3156,Contemporary,LKChamplain
TT157_Conc3,44.6531,-73.3156,Contemporary,LKChamplain
TT158_Conc2,44.6531,-73.3156,Contemporary,LKChamplain
TT159_Conc2,44.6531,-73.3156,Contemporary,LKChamplain
TT160_190326,44.6531,-73.3156,Contemporary,LKChamplain
TT161_Conc3,44.6531,-73.3156,Contemporary,LKChamplain
TT162_Conc3,44.6531,-73.3156,Contemporary,LKChamplain
TT163_Conc3,44.8287,-73.2764,Contemporary,LKChamplain
TT164_Conc2,44.8287,-73.2764,Contemporary,LKChamplain
TT165_Conc2,44.8287,-73.2764,Contemporary,LKChamplain
TT168_Conc2,44.8287,-73.2764,Contemporary,LKChamplain
TT169_Conc2,44.8287,-73.2764,Contemporary,LKChamplain
TT170_Conc2,44.4019,-73.2312,Contemporary,LKChamplain
TT171_190326,44.4019,-73.2312,Contemporary,LKChamplain
TT172_190326,44.4019,-73.2312,Contemporary,LKChamplain
