Origin QC8_210915 TT054_Conc2 TT056_Conc2 TT057_Conc2 TT059_Conc2 TT060_Conc2 TT062_Conc2 TT063_Conc2 TT064_Conc2 TT065_190326 TT066_Conc2 TT067_Conc2 TT068_Conc2 TT069_Conc2 TT070_Conc2 TT071_Conc2 TT072_Conc2 TT073_Conc2 TT074_190326 TT075_Conc2 TT076_190326 TT077_190326 TT078_Conc2 TT079_Conc2 TT080_Conc2 TT082_Conc2 TT083_Conc2 TT084_Conc2 TT085_Conc2 TT086_Conc2 TT087_Conc2 TT089_Conc2 TT090_Conc2 TT091_Conc2 TT092_Conc2 TT093_Conc2 TT094_Conc2 TT095_Conc2 TT096_Conc2 TT097_Conc2 TT098_Conc2 TT099_Conc2 TT100_Conc2 TT101_Conc2 TT102_Conc2 TT103_Conc2 TT104_Conc2 TT105_Conc2 TT106_Conc2 TT107_Conc2 TT108_Conc2 TT109_Conc2 TT110_Conc2 TT111_Conc3b TT112_Conc2 TT113_Conc2 TT114_Conc2 TT115_Conc2 TT116_Conc2 TT117_Conc2 TT118_Conc2 TT119_Conc2 TT121_Conc2 TT122_Conc2 TT123_Conc2 TT124_Conc3 TT125_Conc2 TT126_Conc3b TT127_Conc2 TT128_Conc2 TT129_Conc2 TT130_Conc2 TT131_Conc2 TT132_Conc2 TT133_Conc3b TT134_Conc2 TT135_Conc2 TT136_Conc2 TT137_Conc2 TT138_Conc2 TT139_Conc2 TT140_Conc2 TT141_Conc2 TT142_Conc2 TT144_Conc2 TT145_Conc2 TT146_190326 TT147_Conc2 TT148_Conc2 TT149_190326 TT150_Conc2 TT151_Conc2 TT152_Conc2 TT153_Conc2 TT154_Conc2 TT155_Conc2 TT156_Conc2 TT157_Conc3 TT158_Conc2 TT159_Conc2 TT160_190326 TT161_Conc3 TT162_Conc3 TT163_Conc3 TT164_Conc2 TT165_Conc2 TT168_Conc2 TT169_Conc2 TT170_Conc2 TT171_190326 TT172_190326 TT173_Conc3 TT174_190326 TT175_Conc3b TT176_Conc2 TT177_Conc2 TT178_Conc2 TT179_Conc2 TT180_Conc2 TT181_Conc2 TT182_Conc2 TT183_Conc2 TT184_Conc2 TT186_Conc2 TT189_190326 TT190_Conc2 Tta119_210915 Tta167_210915 Tta260_210915 Tta276_210915 Tta285_210915 Tta307_210915 Tta311_210915 Tta344_210915 Tta346_210915 Tta348_210915 Tta365_210915 Tta384_210915 Tta397_210915 Tta403_210915 Tta419_210915 Tta428_210915 TTa434_210915 Tta442_210915 Tta449_210915 Tta450_210915 Tta452_210915 Tta48_210915 TTa482_210916 TTa502_210916 Tta504_210915 TTa505_210916 Tta509_210915 Tta513_210915 Tta514_210915 TTa517_210916 TTa525_210916 TTa535_210916 TTa542_210916 TTa545_210916 TTa559_210916 TTa572_210916 TTa574_210916 TTa580_210916 TTa589_210916 TTa613_210916 Tta96_210915 TTb100_210916 TTb101_210915 TTb118_210915 TTb120_210915 TTb1_210916 TTb124_210916 TTb125_210915 TTb126_210915 TTb127_210915 TTb130_210915 TTb132_210916 TTb133_210916 TTb146_210915 TTb150_210916 TTb16_210915 TTb189_210915 TTb190_210916 TTb2_210916 TTb222_210915 TTb224_210915 TTb227_210915 TTb257_210915 TTb4_210915 TTb7_210915 TTb90_210916 TTb92_210915 TTb93_210915 TTb98_210916
Origin 0 293.786 4.534 4.534 24.428 122.695 123.536 123.536 123.536 123.536 123.536 123.536 123.536 105.601 105.601 105.601 105.601 105.601 105.601 105.601 105.601 140.41 140.41 140.41 140.41 140.41 140.41 140.41 123.536 123.536 123.536 123.536 123.536 123.536 123.536 105.601 105.601 105.601 105.601 105.601 105.601 105.601 105.601 140.41 140.41 140.41 140.41 140.41 140.41 140.41 140.41 123.536 123.536 123.536 123.536 140.41 140.41 140.41 105.601 105.601 123.536 123.536 123.536 140.41 181.503 150.857 149.991 146.627 145.867 165.669 147.045 147.045 147.735 168.11 165.532 165.362 165.918 165.669 64.899 184.725 165.532 154.046 154.046 147.896 146.345 43.914 144.583 57.521 57.521 57.521 72.482 72.482 72.482 72.482 72.482 72.482 72.482 72.482 72.482 72.482 72.482 72.482 72.482 72.482 50.881 50.881 50.881 50.881 50.881 100.843 100.843 100.843 100.843 56.983 60.388 60.388 60.388 60.388 193.034 193.034 165.748 49.635 165.748 165.748 261.083 270.139 578.082 16.965 205.372 97.999 97.999 97.999 97.999 205.058 205.219 205.058 205.219 97.999 205.219 205.219 205.219 79.746 205.219 79.746 205.058 97.999 205.058 205.219 97.999 203.933 203.933 180.282 180.282 180.282 180.282 180.282 109.303 203.933 203.933 106.253 106.253 203.933 203.933 203.933 203.933 203.933 204.283 97.999 129.693 147.268 7.176 5.276 107.327 157.138 157.138 7.176 7.176 145.52 129.693 145.52 3.261 3.261 138.584 15.061 15.061 106.766 213.64 215.088 213.64 198.802 106.766 106.766 151.172 150.894 147.074 129.693
QC8_210915 293.786 0 298.221 298.221 318.115 221.614 222.456 222.456 222.456 222.456 222.456 222.456 222.456 189.984 189.984 189.984 189.984 189.984 189.984 189.984 189.984 239.329 239.329 239.329 239.329 239.329 239.329 239.329 222.456 222.456 222.456 222.456 222.456 222.456 222.456 189.984 189.984 189.984 189.984 189.984 189.984 189.984 189.984 239.329 239.329 239.329 239.329 239.329 239.329 239.329 239.329 222.456 222.456 222.456 222.456 239.329 239.329 239.329 189.984 189.984 222.456 222.456 222.456 239.329 475.189 444.543 443.678 440.314 439.554 459.356 440.732 440.732 441.422 461.797 459.219 459.049 459.604 459.356 358.586 478.412 459.219 447.732 447.732 441.583 440.032 337.6 438.27 351.208 351.208 351.208 366.169 366.169 366.169 366.169 366.169 366.169 366.169 366.169 366.169 366.169 366.169 366.169 366.169 366.169 344.568 344.568 344.568 344.568 344.568 394.529 394.529 394.529 394.529 350.67 354.075 354.075 354.075 354.075 486.721 486.721 459.434 343.322 459.434 459.434 360.003 369.058 677.001 310.652 304.291 196.919 196.919 196.919 196.919 303.978 304.138 303.978 304.138 196.919 304.138 304.138 304.138 214.462 304.138 214.462 303.978 196.919 303.978 304.138 196.919 302.853 302.853 279.201 279.201 279.201 279.201 279.201 186.292 302.853 302.853 190.859 190.859 302.853 302.853 302.853 302.853 302.853 303.203 196.919 228.613 246.187 300.863 298.962 197.613 136.65 136.65 300.863 300.863 244.439 228.613 244.439 296.948 296.948 237.503 308.748 308.748 198.068 312.56 314.008 312.56 297.721 198.068 198.068 250.092 249.814 245.994 228.613
TT054_Conc2 4.534 298.221 0 0 19.994 127.129 127.971 127.971 127.971 127.971 127.971 127.971 127.971 110.035 110.035 110.035 110.035 110.035 110.035 110.035 110.035 144.844 144.844 144.844 144.844 144.844 144.844 144.844 127.971 127.971 127.971 127.971 127.971 127.971 127.971 110.035 110.035 110.035 110.035 110.035 110.035 110.035 110.035 144.844 144.844 144.844 144.844 144.844 144.844 144.844 144.844 127.971 127.971 127.971 127.971 144.844 144.844 144.844 110.035 110.035 127.971 127.971 127.971 144.844 177.069 146.423 145.557 142.193 141.434 161.236 142.611 142.611 143.302 163.676 161.098 160.928 161.484 161.236 60.465 180.291 161.098 149.612 149.612 143.462 141.911 39.48 140.149 53.087 53.087 53.087 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 46.447 46.447 46.447 46.447 46.447 96.409 96.409 96.409 96.409 52.549 55.954 55.954 55.954 55.954 188.6 188.6 161.314 45.201 161.314 161.314 265.518 274.573 582.516 12.531 209.806 102.433 102.433 102.433 102.433 209.492 209.653 209.492 209.653 102.433 209.653 209.653 209.653 84.18 209.653 84.18 209.492 102.433 209.492 209.653 102.433 208.367 208.367 184.716 184.716 184.716 184.716 184.716 113.737 208.367 208.367 110.687 110.687 208.367 208.367 208.367 208.367 208.367 208.718 102.433 134.127 151.702 2.742 0.895 111.762 161.572 161.572 2.742 2.742 149.954 134.127 149.954 1.272 1.272 143.018 10.627 10.627 111.201 218.074 219.522 218.074 203.236 111.201 111.201 155.607 155.328 151.509 134.127
TT056_Conc2 4.534 298.221 0 0 19.994 127.129 127.971 127.971 127.971 127.971 127.971 127.971 127.971 110.035 110.035 110.035 110.035 110.035 110.035 110.035 110.035 144.844 144.844 144.844 144.844 144.844 144.844 144.844 127.971 127.971 127.971 127.971 127.971 127.971 127.971 110.035 110.035 110.035 110.035 110.035 110.035 110.035 110.035 144.844 144.844 144.844 144.844 144.844 144.844 144.844 144.844 127.971 127.971 127.971 127.971 144.844 144.844 144.844 110.035 110.035 127.971 127.971 127.971 144.844 177.069 146.423 145.557 142.193 141.434 161.236 142.611 142.611 143.302 163.676 161.098 160.928 161.484 161.236 60.465 180.291 161.098 149.612 149.612 143.462 141.911 39.48 140.149 53.087 53.087 53.087 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 68.049 46.447 46.447 46.447 46.447 46.447 96.409 96.409 96.409 96.409 52.549 55.954 55.954 55.954 55.954 188.6 188.6 161.314 45.201 161.314 161.314 265.518 274.573 582.516 12.531 209.806 102.433 102.433 102.433 102.433 209.492 209.653 209.492 209.653 102.433 209.653 209.653 209.653 84.18 209.653 84.18 209.492 102.433 209.492 209.653 102.433 208.367 208.367 184.716 184.716 184.716 184.716 184.716 113.737 208.367 208.367 110.687 110.687 208.367 208.367 208.367 208.367 208.367 208.718 102.433 134.127 151.702 2.742 0.895 111.762 161.572 161.572 2.742 2.742 149.954 134.127 149.954 1.272 1.272 143.018 10.627 10.627 111.201 218.074 219.522 218.074 203.236 111.201 111.201 155.607 155.328 151.509 134.127
TT057_Conc2 24.428 318.115 19.994 19.994 0 147.023 147.865 147.865 147.865 147.865 147.865 147.865 147.865 129.929 129.929 129.929 129.929 129.929 129.929 129.929 129.929 164.738 164.738 164.738 164.738 164.738 164.738 164.738 147.865 147.865 147.865 147.865 147.865 147.865 147.865 129.929 129.929 129.929 129.929 129.929 129.929 129.929 129.929 164.738 164.738 164.738 164.738 164.738 164.738 164.738 164.738 147.865 147.865 147.865 147.865 164.738 164.738 164.738 129.929 129.929 147.865 147.865 147.865 164.738 157.074 126.428 125.563 122.199 121.439 141.241 122.617 122.617 123.307 143.682 141.104 140.934 141.489 141.241 40.471 160.297 141.104 129.617 129.617 123.468 121.917 19.485 120.155 33.092 33.092 33.092 48.054 48.054 48.054 48.054 48.054 48.054 48.054 48.054 48.054 48.054 48.054 48.054 48.054 48.054 26.453 26.453 26.453 26.453 26.453 76.414 76.414 76.414 76.414 32.555 35.96 35.96 35.96 35.96 168.605 168.605 141.319 25.207 141.319 141.319 285.412 294.468 602.411 16.66 229.7 122.328 122.328 122.328 122.328 229.387 229.547 229.387 229.547 122.328 229.547 229.547 229.547 104.075 229.547 104.075 229.387 122.328 229.387 229.547 122.328 228.262 228.262 204.61 204.61 204.61 204.61 204.61 133.631 228.262 228.262 130.582 130.582 228.262 228.262 228.262 228.262 228.262 228.612 122.328 154.022 171.597 17.252 19.153 131.656 181.467 181.467 17.252 17.252 169.848 154.022 169.848 21.167 21.167 162.912 9.367 9.367 131.095 237.969 239.417 237.969 223.13 131.095 131.095 175.501 175.223 171.403 154.022
TT059_Conc2 122.695 221.614 127.129 127.129 147.023 0 0.938 0.938 0.938 0.938 0.938 0.938 0.938 33.428 33.428 33.428 33.428 33.428 33.428 33.428 33.428 19.639 19.639 19.639 19.639 19.639 19.639 19.639 0.938 0.938 0.938 0.938 0.938 0.938 0.938 33.428 33.428 33.428 33.428 33.428 33.428 33.428 33.428 19.639 19.639 19.639 19.639 19.639 19.639 19.639 19.639 0.938 0.938 0.938 0.938 19.639 19.639 19.639 33.428 33.428 0.938 0.938 0.938 19.639 304.098 273.452 272.586 269.222 268.462 288.264 269.64 269.64 270.33 290.705 288.127 287.957 288.513 288.264 187.494 307.32 288.127 276.641 276.641 270.491 268.94 166.509 267.178 180.116 180.116 180.116 195.077 195.077 195.077 195.077 195.077 195.077 195.077 195.077 195.077 195.077 195.077 195.077 195.077 195.077 173.476 173.476 173.476 173.476 173.476 223.438 223.438 223.438 223.438 179.578 182.983 182.983 182.983 182.983 315.629 315.629 288.343 172.23 288.343 288.343 139.724 148.779 456.722 139.56 84.012 24.695 24.695 24.695 24.695 83.699 83.859 83.699 83.859 24.695 83.859 83.859 83.859 43.37 83.859 43.37 83.699 24.695 83.699 83.859 24.695 82.574 82.574 58.922 58.922 58.922 58.922 58.922 37.13 82.574 82.574 34.081 34.081 82.574 82.574 82.574 82.574 82.574 82.924 24.695 9.501 26.813 129.771 127.871 27.639 84.966 84.966 129.771 129.771 25.224 9.501 25.224 125.856 125.856 17.973 137.656 137.656 27.078 92.281 94.896 92.281 77.442 27.078 27.078 29.813 29.535 26.62 9.501
TT060_Conc2 123.536 222.456 127.971 127.971 147.865 0.938 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 19.331 19.331 19.331 34.27 34.27 0 0 0 19.331 304.939 274.293 273.428 270.064 269.304 289.106 270.482 270.482 271.172 291.547 288.969 288.799 289.355 289.106 188.336 308.162 288.969 277.482 277.482 271.333 269.782 167.35 268.02 180.958 180.958 180.958 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 174.318 174.318 174.318 174.318 174.318 224.279 224.279 224.279 224.279 180.42 183.825 183.825 183.825 183.825 316.471 316.471 289.184 173.072 289.184 289.184 139.416 148.472 456.415 140.402 83.704 25.537 25.537 25.537 25.537 83.391 83.551 83.391 83.551 25.537 83.551 83.551 83.551 44.212 83.551 44.212 83.391 25.537 83.391 83.551 25.537 82.266 82.266 58.614 58.614 58.614 58.614 58.614 37.972 82.266 82.266 34.923 34.923 82.266 82.266 82.266 82.266 82.266 82.616 25.537 9.193 26.505 130.613 128.712 28.481 85.807 85.807 130.613 130.613 24.916 9.193 24.916 126.698 126.698 17.665 138.498 138.498 27.92 91.973 94.588 91.973 77.134 27.92 27.92 29.505 29.227 26.312 9.193
TT062_Conc2 123.536 222.456 127.971 127.971 147.865 0.938 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 19.331 19.331 19.331 34.27 34.27 0 0 0 19.331 304.939 274.293 273.428 270.064 269.304 289.106 270.482 270.482 271.172 291.547 288.969 288.799 289.355 289.106 188.336 308.162 288.969 277.482 277.482 271.333 269.782 167.35 268.02 180.958 180.958 180.958 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 174.318 174.318 174.318 174.318 174.318 224.279 224.279 224.279 224.279 180.42 183.825 183.825 183.825 183.825 316.471 316.471 289.184 173.072 289.184 289.184 139.416 148.472 456.415 140.402 83.704 25.537 25.537 25.537 25.537 83.391 83.551 83.391 83.551 25.537 83.551 83.551 83.551 44.212 83.551 44.212 83.391 25.537 83.391 83.551 25.537 82.266 82.266 58.614 58.614 58.614 58.614 58.614 37.972 82.266 82.266 34.923 34.923 82.266 82.266 82.266 82.266 82.266 82.616 25.537 9.193 26.505 130.613 128.712 28.481 85.807 85.807 130.613 130.613 24.916 9.193 24.916 126.698 126.698 17.665 138.498 138.498 27.92 91.973 94.588 91.973 77.134 27.92 27.92 29.505 29.227 26.312 9.193
TT063_Conc2 123.536 222.456 127.971 127.971 147.865 0.938 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 19.331 19.331 19.331 34.27 34.27 0 0 0 19.331 304.939 274.293 273.428 270.064 269.304 289.106 270.482 270.482 271.172 291.547 288.969 288.799 289.355 289.106 188.336 308.162 288.969 277.482 277.482 271.333 269.782 167.35 268.02 180.958 180.958 180.958 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 174.318 174.318 174.318 174.318 174.318 224.279 224.279 224.279 224.279 180.42 183.825 183.825 183.825 183.825 316.471 316.471 289.184 173.072 289.184 289.184 139.416 148.472 456.415 140.402 83.704 25.537 25.537 25.537 25.537 83.391 83.551 83.391 83.551 25.537 83.551 83.551 83.551 44.212 83.551 44.212 83.391 25.537 83.391 83.551 25.537 82.266 82.266 58.614 58.614 58.614 58.614 58.614 37.972 82.266 82.266 34.923 34.923 82.266 82.266 82.266 82.266 82.266 82.616 25.537 9.193 26.505 130.613 128.712 28.481 85.807 85.807 130.613 130.613 24.916 9.193 24.916 126.698 126.698 17.665 138.498 138.498 27.92 91.973 94.588 91.973 77.134 27.92 27.92 29.505 29.227 26.312 9.193
TT064_Conc2 123.536 222.456 127.971 127.971 147.865 0.938 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 19.331 19.331 19.331 34.27 34.27 0 0 0 19.331 304.939 274.293 273.428 270.064 269.304 289.106 270.482 270.482 271.172 291.547 288.969 288.799 289.355 289.106 188.336 308.162 288.969 277.482 277.482 271.333 269.782 167.35 268.02 180.958 180.958 180.958 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 174.318 174.318 174.318 174.318 174.318 224.279 224.279 224.279 224.279 180.42 183.825 183.825 183.825 183.825 316.471 316.471 289.184 173.072 289.184 289.184 139.416 148.472 456.415 140.402 83.704 25.537 25.537 25.537 25.537 83.391 83.551 83.391 83.551 25.537 83.551 83.551 83.551 44.212 83.551 44.212 83.391 25.537 83.391 83.551 25.537 82.266 82.266 58.614 58.614 58.614 58.614 58.614 37.972 82.266 82.266 34.923 34.923 82.266 82.266 82.266 82.266 82.266 82.616 25.537 9.193 26.505 130.613 128.712 28.481 85.807 85.807 130.613 130.613 24.916 9.193 24.916 126.698 126.698 17.665 138.498 138.498 27.92 91.973 94.588 91.973 77.134 27.92 27.92 29.505 29.227 26.312 9.193
